budget,popularity,revenue,runtime,vote_average,vote_count,crew_count,cast_count,release_year,release_month,profit,original_language_Other,original_language_de,original_language_en,original_language_es,original_language_fr,original_language_hi,original_language_it,original_language_ja,original_language_zh,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Australia,Canada,China,France,Germany,Italy,Japan,Other,Spain,United Kingdom,United States of America,cast_freq_sum,cast_freq_mean,director_freq,success
1.7964053749053166,1.2219305236512783,21.33576364489052,4.1693189161086215,1.3665053788589505,1.3552746215122002,65,136,1997,11,19.539358269985204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,404,2.9705882352941178,7.0,1
1.9817447449674186,1.6470570669255176,20.865897133567135,1.8962306559180018,0.9545702934103366,1.338157133227285,119,100,2016,4,18.884152388599716,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,504,5.04,4.0,1
1.8329650772307808,0.9550166876882419,19.52932747214763,1.12241337585311,-0.693170048384117,0.8523679132760904,122,46,2012,4,17.69636239491685,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,225,4.891304347826087,6.0,1
1.5574613691189263,2.112575558966862,21.137709722254115,0.78386831582472,0.3366676652374167,1.4088694894088103,435,28,2015,6,19.58024835313519,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,178,6.357142857142857,2.0,1
1.7964053749053166,1.1768855728981409,20.826328627454465,1.702776335901779,0.7486027506860305,1.357460356130035,30,24,2012,10,19.02992325254915,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,163,6.791666666666667,7.0,1
1.7964053749053166,0.5792282453572657,20.47962150073071,0.9289590558368872,0.5426352079617236,1.13443143470832,128,76,2004,6,18.683216125825393,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,556,7.315789473684211,11.0,1
1.7964053749053166,1.0656115309853327,20.91837198398605,1.0740497958490545,0.6456189793238767,1.415376099364865,29,107,2013,4,19.121966609080733,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,507,4.738317757009346,2.0,1
1.7964053749053166,1.072315647317028,20.748437467472296,0.010051035759828362,0.2336838938752637,1.162962226500497,24,35,2010,3,18.95203209256698,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336,9.6,14.0,1
1.8369296841919953,-0.6759792169127088,19.94534380777439,-0.18340328425639457,0.13070012251310978,1.0540926297701394,39,32,2006,5,18.108414123582392,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,375,11.71875,9.0,1
1.7964053749053166,1.1509524843186978,20.426959492809576,-0.18340328425639457,0.8515865220481835,1.0544282897878527,13,24,2013,6,18.63055411790426,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,341,14.208333333333334,1.0,1
